,climate,genotype,Ptot_>20,Ptot_20-25,Ptot_>25,Ptot_25-30,Ptot_>30,Ptot_<5,P300_>20,P300_20-25,P300_>25,P300_25-30,P300_<5,P600_>20,P600_20-25,P600_>25,P600_25-30,P600_<5,P1000_>20,P1000_20-25,P1000_>25,P1000_25-30,P1000_>30,Pharv_>20,Pharv_20-25,Pharv_>25,Pharv_25-30,Pharvt_>30,seed_yield,seed_nb,PMG,lipids,proteins
87,2,0,53.0,28.0,25.0,21.0,4.0,4.0,7.0,6.0,1.0,1.0,4.0,10.0,9.0,1.0,1.0,0.0,14.0,8.0,6.0,6.0,0.0,25.0,6.0,19.0,15.0,4.0,31.26,74600.18,4.19,49.19,18.32
88,2,0,53.0,28.0,25.0,21.0,4.0,4.0,7.0,6.0,1.0,1.0,4.0,10.0,9.0,1.0,1.0,0.0,14.0,8.0,6.0,6.0,0.0,25.0,6.0,19.0,15.0,4.0,34.05,83053.58,4.1,50.17,17.56
89,2,1,53.0,28.0,25.0,21.0,4.0,4.0,6.0,5.0,1.0,1.0,4.0,9.0,9.0,0.0,0.0,0.0,14.0,9.0,5.0,5.0,0.0,26.0,7.0,19.0,15.0,4.0,24.03,58745.34,4.09,49.87,18.81
90,2,1,53.0,28.0,25.0,21.0,4.0,4.0,6.0,5.0,1.0,1.0,4.0,9.0,9.0,0.0,0.0,0.0,14.0,9.0,5.0,5.0,0.0,26.0,7.0,19.0,15.0,4.0,27.57,64569.51,4.27,49.83,19.25
91,0,0,37.0,23.0,14.0,11.0,3.0,5.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,13.0,9.0,4.0,3.0,1.0,23.0,13.0,10.0,8.0,2.0,40.69,78252.76,5.2,48.7,19.8
92,0,0,37.0,23.0,14.0,11.0,3.0,5.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,13.0,9.0,4.0,3.0,1.0,23.0,13.0,10.0,8.0,2.0,44.24,85069.44,5.2,50.6,18.8
93,0,1,39.0,25.0,14.0,11.0,3.0,5.0,3.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,11.0,8.0,3.0,2.0,1.0,25.0,14.0,11.0,9.0,2.0,36.79,79974.15,4.6,50.1,19.1
94,0,1,39.0,25.0,14.0,11.0,3.0,5.0,3.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,11.0,8.0,3.0,2.0,1.0,25.0,14.0,11.0,9.0,2.0,38.95,84674.43,4.6,51.5,18.1
95,0,0,41.0,20.0,21.0,17.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,12.0,7.0,5.0,4.0,1.0,26.0,10.0,16.0,13.0,3.0,35.16,74813.62,4.7,46.2,14.0
96,0,1,41.0,20.0,21.0,17.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,12.0,7.0,5.0,4.0,1.0,26.0,10.0,16.0,13.0,3.0,35.45,86463.44,4.1,47.2,14.3
97,1,0,53.0,29.0,24.0,18.0,6.0,2.0,5.0,5.0,0.0,0.0,2.0,5.0,4.0,1.0,1.0,0.0,17.0,13.0,4.0,3.0,1.0,27.0,8.0,19.0,14.0,5.0,36.5,78502.23,4.65,49.32,18.35
98,1,0,53.0,29.0,24.0,18.0,6.0,2.0,5.0,5.0,0.0,0.0,2.0,5.0,4.0,1.0,1.0,0.0,17.0,13.0,4.0,3.0,1.0,27.0,8.0,19.0,14.0,5.0,39.07,84931.77,4.6,49.91,18.17
